date,open,high,low,close
1990-09-04,1.0,1.0,1.0,1.0
1990-09-05,1.0,1.0,1.0,1.0
1990-09-06,1.0,1.0,1.0,1.0
1990-09-07,1.0,1.0,1.0,1.0
1990-09-10,1.0,1.0,1.0,1.0
1990-09-11,1.0,1.0,1.0,1.0
1990-09-12,1.0,1.0,1.0,1.0
1990-09-13,1.0,1.0,1.0,1.0
1990-09-14,1.0,1.0,1.0,1.0
1990-09-17,1.0,1.0,1.0,1.0
1990-09-18,1.0,1.0,1.0,1.0
1990-09-19,1.0,1.0,1.0,1.0
1990-09-20,1.0,1.0,1.0,1.0
1990-09-21,1.0,1.0,1.0,1.0
1990-09-24,1.0,1.0,1.0,1.0
1990-09-25,1.0,1.0,1.0,1.0
1990-09-26,1.0,1.0,1.0,1.0
1990-09-27,1.0,1.0,1.0,1.0
1990-09-28,1.0,1.0,1.0,1.0
1990-10-01,1.0,1.0,1.0,1.0
1990-10-02,1.0,1.0,1.0,1.0
1990-10-03,1.0,1.0,1.0,1.0
1990-10-04,1.0,1.0,1.0,1.0
1990-10-05,1.0,1.0,1.0,1.0
1990-10-08,1.0,1.0,1.0,1.0
1990-10-09,1.0,1.0,1.0,1.0
1990-10-10,1.0,1.0,1.0,1.0
1990-10-11,1.0,1.0,1.0,1.0
1990-10-12,1.0,1.0,1.0,1.0
1990-10-15,1.0,1.0,1.0,1.0
1990-10-16,1.0,1.0,1.0,1.0
1990-10-17,1.0,1.0,1.0,1.0
1990-10-18,1.0,1.0,1.0,1.0
1990-10-19,1.0,1.0,1.0,1.0
1990-10-22,1.0,1.0,1.0,1.0
1990-10-23,1.0,1.0,1.0,1.0
1990-10-24,1.0,1.0,1.0,1.0
1990-10-25,1.0,1.0,1.0,1.0
1990-10-26,1.0,1.0,1.0,1.0
1990-10-29,1.0,1.0,1.0,1.0
1990-10-30,1.0,1.0,1.0,1.0
1990-10-31,1.0,1.0,1.0,1.0
1990-11-01,1.0,1.0,1.0,1.0
1990-11-02,1.0,1.0,1.0,1.0
1990-11-05,1.0,1.0,1.0,1.0
1990-11-06,1.0,1.0,1.0,1.0
1990-11-07,1.0,1.0,1.0,1.0
1990-11-08,1.0,1.0,1.0,1.0
1990-11-09,1.0,1.0,1.0,1.0
1990-11-12,1.0,1.0,1.0,1.0
1990-11-13,1.0,1.0,1.0,1.0
1990-11-14,1.0,1.0,1.0,1.0
1990-11-15,1.0,1.0,1.0,1.0
1990-11-16,1.0,1.0,1.0,1.0
1990-11-19,1.0,1.0,1.0,1.0
1990-11-20,1.0,1.0,1.0,1.0
1990-11-21,1.0,1.0,1.0,1.0
1990-11-22,1.0,1.0,1.0,1.0
1990-11-23,1.0,1.0,1.0,1.0
1990-11-26,1.0,1.0,1.0,1.0
1990-11-27,1.0,1.0,1.0,1.0
1990-11-28,1.0,1.0,1.0,1.0
1990-11-29,1.0,1.0,1.0,1.0
1990-11-30,1.0,1.0,1.0,1.0
1990-12-03,1.0,1.0,1.0,1.0
1990-12-04,1.0,1.0,1.0,1.0
1990-12-05,1.0,1.0,1.0,1.0
1990-12-06,1.0,1.0,1.0,1.0
1990-12-07,1.0,1.0,1.0,1.0
1990-12-10,1.0,1.0,1.0,1.0
1990-12-11,1.0,1.0,1.0,1.0
1990-12-12,1.0,1.0,1.0,1.0
1990-12-13,1.0,1.0,1.0,1.0
1990-12-14,1.0,1.0,1.0,1.0
1990-12-17,1.0,1.0,1.0,1.0
1990-12-18,1.0,1.0,1.0,1.0
1990-12-19,1.0,1.0,1.0,1.0
1990-12-20,1.0,1.0,1.0,1.0
1990-12-21,1.0,1.0,1.0,1.0
1990-12-24,1.0,1.0,1.0,1.0
1990-12-25,1.0,1.0,1.0,1.0
1990-12-26,1.0,1.0,1.0,1.0
1990-12-27,1.0,1.0,1.0,1.0
1990-12-28,1.0,1.0,1.0,1.0
1990-12-31,1.0,1.0,1.0,1.0
1991-01-01,1.0,1.0,1.0,1.0
1991-01-02,1.0,1.0,1.0,1.0
1991-01-03,1.0,1.0,1.0,1.0
1991-01-04,1.0,1.0,1.0,1.0
1991-01-07,1.0,1.0,1.0,1.0
1991-01-08,1.0,1.0,1.0,1.0
1991-01-09,1.0,1.0,1.0,1.0
1991-01-10,1.0,1.0,1.0,1.0
1991-01-11,1.0,1.0,1.0,1.0
1991-01-14,1.0,1.0,1.0,1.0
1991-01-15,1.0,1.0,1.0,1.0
1991-01-16,1.0,1.0,1.0,1.0
1991-01-17,1.0,1.0,1.0,1.0
1991-01-18,1.0,1.0,1.0,1.0
1991-01-21,1.0,1.0,1.0,1.0
1991-01-22,1.0,1.0,1.0,1.0
1991-01-23,1.0,1.0,1.0,1.0
1991-01-24,1.0,1.0,1.0,1.0
1991-01-25,1.0,1.0,1.0,1.0
1991-01-28,1.0,1.0,1.0,1.0
1991-01-29,1.0,1.0,1.0,1.0
1991-01-30,1.0,1.0,1.0,1.0
1991-01-31,1.0,1.0,1.0,1.0
1991-02-01,1.0,1.0,1.0,1.0
1991-02-04,1.0,1.0,1.0,1.0
1991-02-05,1.0,1.0,1.0,1.0
1991-02-06,1.0,1.0,1.0,1.0
1991-02-07,1.0,1.0,1.0,1.0
1991-02-08,1.0,1.0,1.0,1.0
1991-02-11,1.0,1.0,1.0,1.0
1991-02-12,1.0,1.0,1.0,1.0
1991-02-13,1.0,1.0,1.0,1.0
1991-02-14,1.0,1.0,1.0,1.0
1991-02-15,1.0,1.0,1.0,1.0
1991-02-18,1.0,1.0,1.0,1.0
1991-02-19,1.0,1.0,1.0,1.0
1991-02-20,1.0,1.0,1.0,1.0
1991-02-21,1.0,1.0,1.0,1.0
1991-02-22,1.0,1.0,1.0,1.0
1991-02-25,1.0,1.0,1.0,1.0
1991-02-26,1.0,1.0,1.0,1.0
1991-02-27,1.0,1.0,1.0,1.0
1991-02-28,1.0,1.0,1.0,1.0
1991-03-01,1.0,1.0,1.0,1.0
1991-03-04,1.0,1.0,1.0,1.0
1991-03-05,1.0,1.0,1.0,1.0
1991-03-06,1.0,1.0,1.0,1.0
1991-03-07,1.0,1.0,1.0,1.0
1991-03-08,1.0,1.0,1.0,1.0
1991-03-11,1.0,1.0,1.0,1.0
1991-03-12,1.0,1.0,1.0,1.0
1991-03-13,1.0,1.0,1.0,1.0
1991-03-14,1.0,1.0,1.0,1.0
1991-03-15,1.0,1.0,1.0,1.0
1991-03-18,1.0,1.0,1.0,1.0
1991-03-19,1.0,1.0,1.0,1.0
1991-03-20,1.0,1.0,1.0,1.0
1991-03-21,1.0,1.0,1.0,1.0
1991-03-22,1.0,1.0,1.0,1.0
1991-03-25,1.0,1.0,1.0,1.0
1991-03-26,1.0,1.0,1.0,1.0
1991-03-27,1.0,1.0,1.0,1.0
1991-03-28,1.0,1.0,1.0,1.0
1991-03-29,1.0,1.0,1.0,1.0
1991-04-01,1.0,1.0,1.0,1.0
1991-04-02,1.0,1.0,1.0,1.0
1991-04-03,1.0,1.0,1.0,1.0
1991-04-04,1.0,1.0,1.0,1.0
1991-04-05,1.0,1.0,1.0,1.0
1991-04-08,1.0,1.0,1.0,1.0
1991-04-09,1.0,1.0,1.0,1.0
1991-04-10,1.0,1.0,1.0,1.0
1991-04-11,1.0,1.0,1.0,1.0
1991-04-12,1.0,1.0,1.0,1.0
1991-04-15,1.0,1.0,1.0,1.0
1991-04-16,1.0,1.0,1.0,1.0
1991-04-17,1.0,1.0,1.0,1.0
1991-04-18,1.0,1.0,1.0,1.0
1991-04-19,1.0,1.0,1.0,1.0
1991-04-22,1.0,1.0,1.0,1.0
1991-04-23,1.0,1.0,1.0,1.0
1991-04-24,1.0,1.0,1.0,1.0
1991-04-25,1.0,1.0,1.0,1.0
1991-04-26,1.0,1.0,1.0,1.0
1991-04-29,1.0,1.0,1.0,1.0
1991-04-30,1.0,1.0,1.0,1.0
1991-05-01,1.0,1.0,1.0,1.0
1991-05-02,1.0,1.0,1.0,1.0
1991-05-03,1.0,1.0,1.0,1.0
1991-05-06,1.0,1.0,1.0,1.0
1991-05-07,1.0,1.0,1.0,1.0
1991-05-08,1.0,1.0,1.0,1.0
1991-05-09,1.0,1.0,1.0,1.0
1991-05-10,1.0,1.0,1.0,1.0
1991-05-13,1.0,1.0,1.0,1.0
1991-05-14,1.0,1.0,1.0,1.0
1991-05-15,1.0,1.0,1.0,1.0
1991-05-16,1.0,1.0,1.0,1.0
1991-05-17,1.0,1.0,1.0,1.0
1991-05-20,1.0,1.0,1.0,1.0
1991-05-21,1.0,1.0,1.0,1.0
1991-05-22,1.0,1.0,1.0,1.0
1991-05-23,1.0,1.0,1.0,1.0
1991-05-24,1.0,1.0,1.0,1.0
1991-05-27,1.0,1.0,1.0,1.0
1991-05-28,1.0,1.0,1.0,1.0
1991-05-29,1.0,1.0,1.0,1.0
1991-05-30,1.0,1.0,1.0,1.0
1991-05-31,1.0,1.0,1.0,1.0
1991-06-03,1.0,1.0,1.0,1.0
1991-06-04,1.0,1.0,1.0,1.0
1991-06-05,1.0,1.0,1.0,1.0
1991-06-06,1.0,1.0,1.0,1.0
1991-06-07,1.0,1.0,1.0,1.0
1991-06-10,1.0,1.0,1.0,1.0
1991-06-11,1.0,1.0,1.0,1.0
1991-06-12,1.0,1.0,1.0,1.0
1991-06-13,1.0,1.0,1.0,1.0
1991-06-14,1.0,1.0,1.0,1.0
1991-06-17,1.0,1.0,1.0,1.0
1991-06-18,1.0,1.0,1.0,1.0
1991-06-19,1.0,1.0,1.0,1.0
1991-06-20,1.0,1.0,1.0,1.0
1991-06-21,1.0,1.0,1.0,1.0
1991-06-24,1.0,1.0,1.0,1.0
1991-06-25,1.0,1.0,1.0,1.0
1991-06-26,1.0,1.0,1.0,1.0
1991-06-27,1.0,1.0,1.0,1.0
1991-06-28,1.0,1.0,1.0,1.0
1991-07-01,1.0,1.0,1.0,1.0
1991-07-02,1.0,1.0,1.0,1.0
1991-07-03,1.0,1.0,1.0,1.0
1991-07-04,1.0,1.0,1.0,1.0
1991-07-05,1.0,1.0,1.0,1.0
1991-07-08,1.0,1.0,1.0,1.0
1991-07-09,1.0,1.0,1.0,1.0
1991-07-10,1.0,1.0,1.0,1.0
1991-07-11,1.0,1.0,1.0,1.0
1991-07-12,1.0,1.0,1.0,1.0
1991-07-15,1.0,1.0,1.0,1.0
1991-07-16,1.0,1.0,1.0,1.0
1991-07-17,1.0,1.0,1.0,1.0
1991-07-18,1.0,1.0,1.0,1.0
1991-07-19,1.0,1.0,1.0,1.0
1991-07-22,1.0,1.0,1.0,1.0
1991-07-23,1.0,1.0,1.0,1.0
1991-07-24,1.0,1.0,1.0,1.0
1991-07-25,1.0,1.0,1.0,1.0
1991-07-26,1.0,1.0,1.0,1.0
1991-07-29,1.0,1.0,1.0,1.0
1991-07-30,1.0,1.0,1.0,1.0
1991-07-31,1.0,1.0,1.0,1.0
1991-08-01,1.0,1.0,1.0,1.0
1991-08-02,1.0,1.0,1.0,1.0
1991-08-05,1.0,1.0,1.0,1.0
1991-08-06,1.0,1.0,1.0,1.0
1991-08-07,1.0,1.0,1.0,1.0
1991-08-08,1.0,1.0,1.0,1.0
1991-08-09,1.0,1.0,1.0,1.0
1991-08-12,1.0,1.0,1.0,1.0
1991-08-13,1.0,1.0,1.0,1.0
1991-08-14,1.0,1.0,1.0,1.0
1991-08-15,1.0,1.0,1.0,1.0
1991-08-16,1.0,1.0,1.0,1.0
1991-08-19,1.0,1.0,1.0,1.0
1991-08-20,1.0,1.0,1.0,1.0
1991-08-21,1.0,1.0,1.0,1.0
1991-08-22,1.0,1.0,1.0,1.0
1991-08-23,1.0,1.0,1.0,1.0
1991-08-26,1.0,1.0,1.0,1.0
1991-08-27,1.0,1.0,1.0,1.0
1991-08-28,1.0,1.0,1.0,1.0
1991-08-29,1.0,1.0,1.0,1.0
1991-08-30,1.0,1.0,1.0,1.0
1991-09-02,1.0,1.0,1.0,1.0
1991-09-03,1.0,1.0,1.0,1.0
1991-09-04,1.0,1.0,1.0,1.0
1991-09-05,1.0,1.0,1.0,1.0
1991-09-06,1.0,1.0,1.0,1.0
1991-09-09,1.0,1.0,1.0,1.0
1991-09-10,1.0,1.0,1.0,1.0
1991-09-11,1.0,1.0,1.0,1.0
1991-09-12,1.0,1.0,1.0,1.0
1991-09-13,1.0,1.0,1.0,1.0
1991-09-16,1.0,1.0,1.0,1.0
1991-09-17,1.0,1.0,1.0,1.0
1991-09-18,1.0,1.0,1.0,1.0
1991-09-19,1.0,1.0,1.0,1.0
1991-09-20,1.0,1.0,1.0,1.0
1991-09-23,1.0,1.0,1.0,1.0
1991-09-24,1.0,1.0,1.0,1.0
1991-09-25,1.0,1.0,1.0,1.0
1991-09-26,1.0,1.0,1.0,1.0
1991-09-27,1.0,1.0,1.0,1.0
1991-09-30,1.0,1.0,1.0,1.0
1991-10-01,1.0,1.0,1.0,1.0
1991-10-02,1.0,1.0,1.0,1.0
1991-10-03,1.0,1.0,1.0,1.0
1991-10-04,1.0,1.0,1.0,1.0
1991-10-07,1.0,1.0,1.0,1.0
1991-10-08,1.0,1.0,1.0,1.0
1991-10-09,1.0,1.0,1.0,1.0
1991-10-10,1.0,1.0,1.0,1.0
1991-10-11,1.0,1.0,1.0,1.0
1991-10-14,1.0,1.0,1.0,1.0
1991-10-15,1.0,1.0,1.0,1.0
1991-10-16,1.0,1.0,1.0,1.0
1991-10-17,1.0,1.0,1.0,1.0
1991-10-18,1.0,1.0,1.0,1.0
1991-10-21,1.0,1.0,1.0,1.0
1991-10-22,1.0,1.0,1.0,1.0
1991-10-23,1.0,1.0,1.0,1.0
1991-10-24,1.0,1.0,1.0,1.0
1991-10-25,1.0,1.0,1.0,1.0
1991-10-28,1.0,1.0,1.0,1.0
1991-10-29,1.0,1.0,1.0,1.0
1991-10-30,1.0,1.0,1.0,1.0
1991-10-31,1.0,1.0,1.0,1.0
1991-11-01,1.0,1.0,1.0,1.0
1991-11-04,1.0,1.0,1.0,1.0
1991-11-05,1.0,1.0,1.0,1.0
1991-11-06,1.0,1.0,1.0,1.0
1991-11-07,1.0,1.0,1.0,1.0
1991-11-08,1.0,1.0,1.0,1.0
1991-11-11,1.0,1.0,1.0,1.0
1991-11-12,1.0,1.0,1.0,1.0
1991-11-13,1.0,1.0,1.0,1.0
1991-11-14,1.0,1.0,1.0,1.0
1991-11-15,1.0,1.0,1.0,1.0
1991-11-18,1.0,1.0,1.0,1.0
1991-11-19,1.0,1.0,1.0,1.0
1991-11-20,1.0,1.0,1.0,1.0
1991-11-21,1.0,1.0,1.0,1.0
1991-11-22,1.0,1.0,1.0,1.0
1991-11-25,1.0,1.0,1.0,1.0
1991-11-26,1.0,1.0,1.0,1.0
1991-11-27,1.0,1.0,1.0,1.0
1991-11-28,1.0,1.0,1.0,1.0
1991-11-29,1.0,1.0,1.0,1.0
1991-12-02,1.0,1.0,1.0,1.0
1991-12-03,1.0,1.0,1.0,1.0
1991-12-04,1.0,1.0,1.0,1.0
1991-12-05,1.0,1.0,1.0,1.0
1991-12-06,1.0,1.0,1.0,1.0
1991-12-09,1.0,1.0,1.0,1.0
1991-12-10,1.0,1.0,1.0,1.0
1991-12-11,1.0,1.0,1.0,1.0
1991-12-12,1.0,1.0,1.0,1.0
1991-12-13,1.0,1.0,1.0,1.0
1991-12-16,1.0,1.0,1.0,1.0
1991-12-17,1.0,1.0,1.0,1.0
1991-12-18,1.0,1.0,1.0,1.0
1991-12-19,1.0,1.0,1.0,1.0
1991-12-20,1.0,1.0,1.0,1.0
1991-12-23,1.0,1.0,1.0,1.0
1991-12-24,1.0,1.0,1.0,1.0
1991-12-25,1.0,1.0,1.0,1.0
1991-12-26,1.0,1.0,1.0,1.0
1991-12-27,1.0,1.0,1.0,1.0
1991-12-30,1.0,1.0,1.0,1.0
1991-12-31,1.0,1.0,1.0,1.0
1992-01-01,1.0,1.0,1.0,1.0
1992-01-02,1.0,1.0,1.0,1.0
1992-01-03,1.0,1.0,1.0,1.0
1992-01-06,1.0,1.0,1.0,1.0
1992-01-07,1.0,1.0,1.0,1.0
1992-01-08,1.0,1.0,1.0,1.0
1992-01-09,1.0,1.0,1.0,1.0
1992-01-10,1.0,1.0,1.0,1.0
1992-01-13,1.0,1.0,1.0,1.0
1992-01-14,1.0,1.0,1.0,1.0
1992-01-15,1.0,1.0,1.0,1.0
1992-01-16,1.0,1.0,1.0,1.0
1992-01-17,1.0,1.0,1.0,1.0
1992-01-20,1.0,1.0,1.0,1.0
1992-01-21,1.0,1.0,1.0,1.0
1992-01-22,1.0,1.0,1.0,1.0
1992-01-23,1.0,1.0,1.0,1.0
1992-01-24,1.0,1.0,1.0,1.0
1992-01-27,1.0,1.0,1.0,1.0
1992-01-28,1.0,1.0,1.0,1.0
1992-01-29,1.0,1.0,1.0,1.0
1992-01-30,1.0,1.0,1.0,1.0
1992-01-31,1.0,1.0,1.0,1.0
1992-02-03,1.0,1.0,1.0,1.0
1992-02-04,1.0,1.0,1.0,1.0
1992-02-05,1.0,1.0,1.0,1.0
1992-02-06,1.0,1.0,1.0,1.0
1992-02-07,1.0,1.0,1.0,1.0
1992-02-10,1.0,1.0,1.0,1.0
1992-02-11,1.0,1.0,1.0,1.0
1992-02-12,1.0,1.0,1.0,1.0
1992-02-13,1.0,1.0,1.0,1.0
1992-02-14,1.0,1.0,1.0,1.0
1992-02-17,1.0,1.0,1.0,1.0
1992-02-18,1.0,1.0,1.0,1.0
1992-02-19,1.0,1.0,1.0,1.0
1992-02-20,1.0,1.0,1.0,1.0
1992-02-21,1.0,1.0,1.0,1.0
1992-02-24,1.0,1.0,1.0,1.0
1992-02-25,1.0,1.0,1.0,1.0
1992-02-26,1.0,1.0,1.0,1.0
1992-02-27,1.0,1.0,1.0,1.0
1992-02-28,1.0,1.0,1.0,1.0
1992-03-02,1.0,1.0,1.0,1.0
1992-03-03,1.0,1.0,1.0,1.0
1992-03-04,1.0,1.0,1.0,1.0
1992-03-05,1.0,1.0,1.0,1.0
1992-03-06,1.0,1.0,1.0,1.0
1992-03-09,1.0,1.0,1.0,1.0
1992-03-10,1.0,1.0,1.0,1.0
1992-03-11,1.0,1.0,1.0,1.0
1992-03-12,1.0,1.0,1.0,1.0
1992-03-13,1.0,1.0,1.0,1.0
1992-03-16,1.0,1.0,1.0,1.0
1992-03-17,1.0,1.0,1.0,1.0
1992-03-18,1.0,1.0,1.0,1.0
1992-03-19,1.0,1.0,1.0,1.0
1992-03-20,1.0,1.0,1.0,1.0
1992-03-23,1.0,1.0,1.0,1.0
1992-03-24,1.0,1.0,1.0,1.0
1992-03-25,1.0,1.0,1.0,1.0
1992-03-26,1.0,1.0,1.0,1.0
1992-03-27,1.0,1.0,1.0,1.0
1992-03-30,1.0,1.0,1.0,1.0
1992-03-31,1.0,1.0,1.0,1.0
1992-04-01,1.0,1.0,1.0,1.0
1992-04-02,1.0,1.0,1.0,1.0
1992-04-03,1.0,1.0,1.0,1.0
1992-04-06,1.0,1.0,1.0,1.0
1992-04-07,1.0,1.0,1.0,1.0
1992-04-08,1.0,1.0,1.0,1.0
1992-04-09,1.0,1.0,1.0,1.0
1992-04-10,1.0,1.0,1.0,1.0
1992-04-13,1.0,1.0,1.0,1.0
1992-04-14,1.0,1.0,1.0,1.0
1992-04-15,1.0,1.0,1.0,1.0
1992-04-16,1.0,1.0,1.0,1.0
1992-04-17,1.0,1.0,1.0,1.0
1992-04-20,1.0,1.0,1.0,1.0
1992-04-21,1.0,1.0,1.0,1.0
1992-04-22,1.0,1.0,1.0,1.0
1992-04-23,1.0,1.0,1.0,1.0
1992-04-24,1.0,1.0,1.0,1.0
1992-04-27,1.0,1.0,1.0,1.0
1992-04-28,1.0,1.0,1.0,1.0
1992-04-29,1.0,1.0,1.0,1.0
1992-04-30,1.0,1.0,1.0,1.0
1992-05-01,1.0,1.0,1.0,1.0
1992-05-04,1.0,1.0,1.0,1.0
1992-05-05,1.0,1.0,1.0,1.0
1992-05-06,1.0,1.0,1.0,1.0
1992-05-07,1.0,1.0,1.0,1.0
1992-05-08,1.0,1.0,1.0,1.0
1992-05-11,1.0,1.0,1.0,1.0
1992-05-12,1.0,1.0,1.0,1.0
1992-05-13,1.0,1.0,1.0,1.0
1992-05-14,1.0,1.0,1.0,1.0
1992-05-15,1.0,1.0,1.0,1.0
1992-05-18,1.0,1.0,1.0,1.0
1992-05-19,1.0,1.0,1.0,1.0
1992-05-20,1.0,1.0,1.0,1.0
1992-05-21,1.0,1.0,1.0,1.0
1992-05-22,1.0,1.0,1.0,1.0
1992-05-25,1.0,1.0,1.0,1.0
1992-05-26,1.0,1.0,1.0,1.0
1992-05-27,1.0,1.0,1.0,1.0
1992-05-28,1.0,1.0,1.0,1.0
1992-05-29,1.0,1.0,1.0,1.0
1992-06-01,1.0,1.0,1.0,1.0
1992-06-02,1.0,1.0,1.0,1.0
1992-06-03,1.0,1.0,1.0,1.0
1992-06-04,1.0,1.0,1.0,1.0
1992-06-05,1.0,1.0,1.0,1.0
1992-06-08,1.0,1.0,1.0,1.0
1992-06-09,1.0,1.0,1.0,1.0
1992-06-10,1.0,1.0,1.0,1.0
1992-06-11,1.0,1.0,1.0,1.0
1992-06-12,1.0,1.0,1.0,1.0
1992-06-15,1.0,1.0,1.0,1.0
1992-06-16,1.0,1.0,1.0,1.0
1992-06-17,1.0,1.0,1.0,1.0
1992-06-18,1.0,1.0,1.0,1.0
1992-06-19,1.0,1.0,1.0,1.0
1992-06-22,1.0,1.0,1.0,1.0
1992-06-23,1.0,1.0,1.0,1.0
1992-06-24,1.0,1.0,1.0,1.0
1992-06-25,1.0,1.0,1.0,1.0
1992-06-26,1.0,1.0,1.0,1.0
1992-06-29,1.0,1.0,1.0,1.0
1992-06-30,1.0,1.0,1.0,1.0
1992-07-01,1.0,1.0,1.0,1.0
1992-07-02,1.0,1.0,1.0,1.0
1992-07-03,1.0,1.0,1.0,1.0
1992-07-06,1.0,1.0,1.0,1.0
1992-07-07,1.0,1.0,1.0,1.0
1992-07-08,1.0,1.0,1.0,1.0
1992-07-09,1.0,1.0,1.0,1.0
1992-07-10,1.0,1.0,1.0,1.0
1992-07-13,1.0,1.0,1.0,1.0
1992-07-14,1.0,1.0,1.0,1.0
1992-07-15,1.0,1.0,1.0,1.0
1992-07-16,1.0,1.0,1.0,1.0
1992-07-17,1.0,1.0,1.0,1.0
1992-07-20,1.0,1.0,1.0,1.0
1992-07-21,1.0,1.0,1.0,1.0
1992-07-22,1.0,1.0,1.0,1.0
1992-07-23,1.0,1.0,1.0,1.0
1992-07-24,1.0,1.0,1.0,1.0
1992-07-27,1.0,1.0,1.0,1.0
1992-07-28,1.0,1.0,1.0,1.0
1992-07-29,1.0,1.0,1.0,1.0
1992-07-30,1.0,1.0,1.0,1.0
1992-07-31,1.0,1.0,1.0,1.0
1992-08-03,1.0,1.0,1.0,1.0
1992-08-04,1.0,1.0,1.0,1.0
1992-08-05,1.0,1.0,1.0,1.0
1992-08-06,1.0,1.0,1.0,1.0
1992-08-07,1.0,1.0,1.0,1.0
1992-08-10,1.0,1.0,1.0,1.0
1992-08-11,1.0,1.0,1.0,1.0
1992-08-12,1.0,1.0,1.0,1.0
1992-08-13,1.0,1.0,1.0,1.0
1992-08-14,1.0,1.0,1.0,1.0
1992-08-17,1.0,1.0,1.0,1.0
1992-08-18,1.0,1.0,1.0,1.0
1992-08-19,1.0,1.0,1.0,1.0
1992-08-20,1.0,1.0,1.0,1.0
1992-08-21,1.0,1.0,1.0,1.0
1992-08-24,1.0,1.0,1.0,1.0
1992-08-25,1.0,1.0,1.0,1.0
1992-08-26,1.0,1.0,1.0,1.0
1992-08-27,1.0,1.0,1.0,1.0
1992-08-28,1.0,1.0,1.0,1.0
1992-08-31,1.0,1.0,1.0,1.0
1992-09-01,1.0,1.0,1.0,1.0
1992-09-02,1.0,1.0,1.0,1.0
1992-09-03,1.0,1.0,1.0,1.0
1992-09-04,1.0,1.0,1.0,1.0
1992-09-07,1.0,1.0,1.0,1.0
1992-09-08,1.0,1.0,1.0,1.0
1992-09-09,1.0,1.0,1.0,1.0
1992-09-10,1.0,1.0,1.0,1.0
1992-09-11,1.0,1.0,1.0,1.0
1992-09-14,1.0,1.0,1.0,1.0
1992-09-15,1.0,1.0,1.0,1.0
1992-09-16,1.0,1.0,1.0,1.0
1992-09-17,1.0,1.0,1.0,1.0
1992-09-18,1.0,1.0,1.0,1.0
1992-09-21,1.0,1.0,1.0,1.0
1992-09-22,1.0,1.0,1.0,1.0
1992-09-23,1.0,1.0,1.0,1.0
1992-09-24,1.0,1.0,1.0,1.0
1992-09-25,1.0,1.0,1.0,1.0
1992-09-28,1.0,1.0,1.0,1.0
1992-09-29,1.0,1.0,1.0,1.0
1992-09-30,1.0,1.0,1.0,1.0
1992-10-01,1.0,1.0,1.0,1.0
1992-10-02,1.0,1.0,1.0,1.0
1992-10-05,1.0,1.0,1.0,1.0
1992-10-06,1.0,1.0,1.0,1.0
1992-10-07,1.0,1.0,1.0,1.0
1992-10-08,1.0,1.0,1.0,1.0
1992-10-09,1.0,1.0,1.0,1.0
1992-10-12,1.0,1.0,1.0,1.0
1992-10-13,1.0,1.0,1.0,1.0
1992-10-14,1.0,1.0,1.0,1.0
1992-10-15,1.0,1.0,1.0,1.0
1992-10-16,1.0,1.0,1.0,1.0
1992-10-19,1.0,1.0,1.0,1.0
1992-10-20,1.0,1.0,1.0,1.0
1992-10-21,1.0,1.0,1.0,1.0
1992-10-22,1.0,1.0,1.0,1.0
1992-10-23,1.0,1.0,1.0,1.0
1992-10-26,1.0,1.0,1.0,1.0
1992-10-27,1.0,1.0,1.0,1.0
1992-10-28,1.0,1.0,1.0,1.0
1992-10-29,1.0,1.0,1.0,1.0
1992-10-30,1.0,1.0,1.0,1.0
1992-11-02,1.0,1.0,1.0,1.0
1992-11-03,1.0,1.0,1.0,1.0
1992-11-04,1.0,1.0,1.0,1.0
1992-11-05,1.0,1.0,1.0,1.0
1992-11-06,1.0,1.0,1.0,1.0
1992-11-09,1.0,1.0,1.0,1.0
1992-11-10,1.0,1.0,1.0,1.0
1992-11-11,1.0,1.0,1.0,1.0
1992-11-12,1.0,1.0,1.0,1.0
1992-11-13,1.0,1.0,1.0,1.0
1992-11-16,1.0,1.0,1.0,1.0
1992-11-17,1.0,1.0,1.0,1.0
